Algorithm      , Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
ALS_factors=100, bm25                         ,                            20, 0.172290832732626 , 0.1617433754938493, 0.19315900925112  , 0.1753687595257746, 0.2508748618376687,   10.662961721420288, "{'bm25_k1': 2.0658641475236683, 'bm25_b': 0.32412433918485234}"
ALS_factors=100, log_idf                   ,                            20, 0.1713809158509904, 0.1598633544654124, 0.1917557111335122, 0.1749134124625341, 0.2515583342881426,   10.577601671218872, {'conf_alpha': 1.1343218762096257}
ALS_factors=100, pmi                          ,                             1, 0.1653218999550775, 0.1551336020961481, 0.1852791522440804, 0.1679176778330749, 0.2403827901750977,   10.564258098602297, {}
ALS_factors=100, power_lift                   ,                            20, 0.1634199922164392, 0.1514883949993082, 0.1818109208637416, 0.1646277237057117, 0.2374311468485307,   10.570600748062134, {'p': 0.3351677931411075}
ALS_factors=100, tfidf                        ,                             1, 0.1622716846992404, 0.1477653650880243, 0.1801457286419136, 0.165691918477411 , 0.2433942872191792,   10.624571561813354, {}
ALS_factors=100, power                        ,                            20, 0.1594673521444076, 0.1485068108589199, 0.1785288890559   , 0.1632599642251854, 0.2354246222232862,   10.652491092681885, {'power_p': 0.5700542103811785}
ALS_factors=100, sigmoid_propensity           ,                            20, 0.1521107566992181, 0.1444382251996203, 0.1726196148964645, 0.1566416808091545, 0.2244246490149503,   10.59593939781189 , "{'p': 1.9503198056924926, 'beta': 0.9941970351343671}"
ALS_factors=100, robust_user_centric          ,                            20, 0.1523894522472852, 0.1443008830506367, 0.1725067988248635, 0.1565792495765845, 0.2243676454744604,   10.55518651008606 , {'scale_factor': 9.98038277416907}
ALS_factors=100, log                          ,                             1, 0.1467166212918221, 0.1392466623986808, 0.1666792533052775, 0.1511116482360885, 0.2170073483264045,   10.584751844406128, {}
ALS_factors=100, no_weighting                 ,                             1, 0.1331736846153498, 0.1148617824356703, 0.1454258587391985, 0.1341034330877513, 0.2075054281621431,   10.58022952079773 , {}
ALS_factors=10 , bm25                         ,                            20, 0.1147269539539289, 0.1013726290774679, 0.1247035238170549, 0.1137771983955746, 0.1698927820406925,    4.1680908203125  , "{'bm25_k1': 14.7302080538714, 'bm25_b': 0.3555110823156621}"
ALS_factors=10 , tfidf                        ,                             1, 0.1146398931335557, 0.1011027003962481, 0.1244890592262387, 0.1135286189924973, 0.1697354522689404,    4.165137529373169, {}
ALS_factors=10 , log_idf                   ,                            20, 0.1143818764281381, 0.1014649106878397, 0.1242406944454175, 0.11313684868903  , 0.1679968442839984,    4.133097171783447, {'conf_alpha': 1.452506886543036}
ALS_factors=10 , power                        ,                            20, 0.1123772336737249, 0.0996115328960662, 0.1222283282173722, 0.1115428475858873, 0.165944716826362 ,    4.212360143661499, {'power_p': 0.695635863899009}
ALS_factors=10 , robust_user_centric          ,                            20, 0.1030620133238567, 0.0920168326620672, 0.1123766939609197, 0.1018768890459533, 0.1509362546507763,    4.148693084716797, {'scale_factor': 9.973074394076782}
ALS_factors=10 , pmi                          ,                             1, 0.1031421364831941, 0.0911101219898863, 0.1118003021108789, 0.1017182335283211, 0.1515376420029448,    4.123420476913452, {}
ALS_factors=10 , log                          ,                             1, 0.1018507112268514, 0.0907146395488883, 0.11105097824192  , 0.1004512804416694, 0.1494729737664006,    4.141520023345947, {}
ALS_factors=10 , sigmoid_propensity           ,                            20, 0.1010575852216969, 0.0893191588895662, 0.1097917100015265, 0.0993280910190094, 0.1487319277400319,    4.129109621047974, "{'p': 1.1341097073430944, 'beta': 0.9985206998871117}"
ALS_factors=10 , power_lift                   ,                            20, 0.0994352515333606, 0.0874649961742823, 0.1077501250643167, 0.0980834757128186, 0.1469300458251462,    4.119206428527832, {'p': 0.2510050045714566}
ALS_factors=10 , no_weighting                 ,                             1, 0.098124324373431 , 0.0828534764640126, 0.1050029133262747, 0.0967821568100733, 0.1500025366575518,    4.090059280395508, {}
ALS_factors=100, robust_user_centric_weight_v2,                            20, 0.089660770596555 , 0.084069799452428 , 0.1031815467691227, 0.0936290931834831, 0.1397094073512906,   10.619489192962646, "{'lower_q': 44.649614431355324, 'upper_q': 57.32618866216161}"
ALS_factors=100, normalized                   ,                             1, 0.0827784135768713, 0.0721292709801919, 0.0926920071109766, 0.0841790665213374, 0.1336539212450485,   10.585072994232178, {}
ALS_factors=10 , robust_user_centric_weight_v2,                            20, 0.0770279798664696, 0.0721403796330861, 0.089278713983448 , 0.0810912979453251, 0.1223797610069561,    4.126124620437622, "{'lower_q': 19.745789021754597, 'upper_q': 55.07834854207534}"
ALS_factors=10 , normalized                   ,                             1, 0.0506545841585246, 0.0437423609260335, 0.0566519164201162, 0.0513259190994323, 0.0823849369284326,    4.14440131187439 , {}
