Algorithm, Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
KNN_k=100, bm25                         ,                            20, 0.1537746607849609, 0.145790480756399 , 0.1728700496422041, 0.1554629333171432, 0.2203984889501486,   5.143112897872925 , "{'bm25_k1': 334.8616967056139, 'bm25_b': 0.9976923878612527}"
KNN_k=100, pmi                          ,                             1, 0.1538867715533792, 0.1459697402429495, 0.1728308554175432, 0.1553340615067921, 0.2197839907836675,   5.093644380569458 , {}
KNN_k=100, robust_user_centric_weight_v2,                            20, 0.1536712903401347, 0.1454392296650076, 0.1725500302870473, 0.1554199760470261, 0.2204543524198288,   5.0870866775512695, "{'lower_q': 23.018757590675904, 'upper_q': 67.56375788840144}"
KNN_k=100, robust_user_centric          ,                            20, 0.1536047994588609, 0.1453017166321116, 0.1723787775078965, 0.1552424193305424, 0.2202120873727467,   5.064833879470825 , {'scale_factor': 7.238040786011438}
KNN_k=100, power_lift                   ,                            20, 0.1531393943611992, 0.1448630920188542, 0.1718621390315938, 0.1546415903125055, 0.219408907487244 ,   5.111421823501587 , {'p': 0.34771148101691296}
KNN_k=100, normalized                   ,                             1, 0.1482783164953859, 0.1424994676879315, 0.1690083315404003, 0.1520280699985852, 0.2155999309117089,   5.067103385925293 , {}
KNN_k=100, power                        ,                            20, 0.1508166606713371, 0.1419933297033216, 0.1687822491170094, 0.1521981807882487, 0.2164350327798859,   5.084109783172607 , {'power_p': 0.15519526328023617}
KNN_k=100, sigmoid_propensity           ,                            20, 0.1505516222507485, 0.1417045166601009, 0.1684533553795547, 0.1519518924395777, 0.2161505851128413,   5.124545335769653 , "{'p': 0.2569626793794393, 'beta': 0.9474990766919448}"
KNN_k=100, log                          ,                             1, 0.1504240368871345, 0.1415911945091332, 0.1683633125647808, 0.1518659778993436, 0.2160399982442909,   5.11661434173584  , {}
KNN_k=100, confidence                   ,                            20, 0.1504453486144567, 0.1415779484783056, 0.1683499847249488, 0.1518596774997265, 0.2160257473591685,   5.137966156005859 , {'conf_alpha': 3.4705476625545497}
KNN_k=100, tfidf                        ,                             1, 0.1473789584050736, 0.1404114469835145, 0.1667330893546538, 0.1501362318226311, 0.2132405543708319,   5.129856586456299 , {}
KNN_k=20 , pmi                          ,                             1, 0.1417714769006371, 0.1338983892748003, 0.1601932762254655, 0.1428627068464151, 0.2058460550984821,   3.933297872543335 , {}
KNN_k=20 , robust_user_centric          ,                            20, 0.1412386724842678, 0.1336553503678164, 0.1598240378861185, 0.1428340686663371, 0.2055462164755053,   3.945002555847168 , {'scale_factor': 9.670932577665486}
KNN_k=20 , robust_user_centric_weight_v2,                            20, 0.1414467083135209, 0.1333008779689244, 0.1596978322768442, 0.1427092062011969, 0.2059549318608178,   3.931705474853516 , "{'lower_q': 16.371950743562238, 'upper_q': 93.72733028826524}"
KNN_k=20 , power_lift                   ,                            20, 0.141125936543692 , 0.1329593155156642, 0.1593487968919456, 0.1425167576310726, 0.2057183671677848,   3.9185540676116943, {'p': 0.2222570062751384}
KNN_k=20 , bm25                         ,                            20, 0.1408297060318316, 0.1323674041316207, 0.1587744708176607, 0.1422046014682222, 0.2054533007045067,   4.060441970825195 , "{'bm25_k1': 36.511207278311026, 'bm25_b': 0.9352037266309827}"
KNN_k=20 , sigmoid_propensity           ,                            20, 0.1406708830320209, 0.1319253750652387, 0.1584379440266935, 0.1418655254160984, 0.2053421438005514,   3.9306600093841553, "{'p': 0.10746634456700904, 'beta': 0.9563893577145531}"
KNN_k=20 , power                        ,                            20, 0.1403492238962631, 0.1319512869657633, 0.1583597141914071, 0.1418374599996219, 0.2051557422231494,   3.9398193359375   , {'power_p': 0.1744640710799922}
KNN_k=20 , confidence                   ,                            20, 0.1398554273383774, 0.1316164550225094, 0.1579509104914086, 0.1415069754015216, 0.2046546811022432,   3.9532508850097656, {'conf_alpha': 2.4608035937985364}
KNN_k=20 , log                          ,                             1, 0.1398306350520357, 0.1315881197326309, 0.1579172507207643, 0.1414817738030529, 0.2046153486593052,   3.9548847675323486, {}
KNN_k=20 , tfidf                        ,                             1, 0.130265622799736 , 0.1252310499784973, 0.1496814250489155, 0.1337975773245181, 0.1923202550110387,   3.947441816329956 , {}
KNN_k=20 , normalized                   ,                             1, 0.1266381949211404, 0.1234978390880384, 0.1467232869828117, 0.1315626537512293, 0.1872286987744809,   3.938751697540283 , {}
KNN_k=100, no_weighting                 ,                             1, 0.0775808853085426, 0.0787291248828982, 0.0966242717199503, 0.0859219861608858, 0.1287892390996405,   5.186036825180054 , {}
KNN_k=20 , no_weighting                 ,                             1, 0.0389140090198117, 0.0412104572733604, 0.0515732293917608, 0.0445724634734332, 0.0693601979618954,   3.971238136291504 , {}
