Algorithm      , Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
ALS_factors=100, sigmoid_propensity           ,                            20, 0.2847964261146111, 0.3481822679947543, 0.3623246627439064, 0.3711034141514102, 0.3964945523448602,   0.2157609462738037, "{'p': 2.2165305913463675, 'beta': 0.2912291401980419}"
ALS_factors=100, robust_user_centric          ,                            20, 0.2826124054860436, 0.3453095790183932, 0.3594643456343896, 0.3671449777337952, 0.3935338702036949,   0.2162296772003173, {'scale_factor': 1.9548472736312617}
ALS_factors=100, power                        ,                            20, 0.2764683970499779, 0.3404693306174136, 0.3566224636056302, 0.3608774534059046, 0.3855992420653719,   0.2419042587280273, {'power_p': 0.10258860908987122}
ALS_factors=100, power_lift                   ,                            20, 0.2787845835513678, 0.338590303954689 , 0.3548872354375069, 0.3597229094507669, 0.3859545239223117,   0.2160086631774902, {'p': 0.11118613978140188}
ALS_factors=100, log                          ,                             1, 0.2694546916941212, 0.3275031173218921, 0.3473680742199692, 0.3461982516905822, 0.3774277593557555,   0.2162919044494629, {}
ALS_factors=10 , power_lift                   ,                            20, 0.2781036967582215, 0.3251148392252573, 0.3392573516558632, 0.347022925944252 , 0.3751776409284699,   0.1673672199249267, {'p': 0.3184260966194111}
ALS_factors=100, robust_user_centric_weight_v2,                            20, 0.2663246184241595, 0.3267911877575155, 0.3383971701881685, 0.3453735774369124, 0.3724538133585978,   0.2149913311004638, "{'lower_q': 29.04460046972835, 'upper_q': 83.32290311184181}"
ALS_factors=10 , sigmoid_propensity           ,                            20, 0.2747587742999141, 0.3155497053841751, 0.3313034875712085, 0.3424047501237011, 0.37482235907153  ,   0.1663761138916015, "{'p': 0.7936602089465885, 'beta': 0.8296158048350399}"
ALS_factors=10 , pmi                          ,                             1, 0.2703587976166588, 0.3125895222557526, 0.3305849232861844, 0.3260761999010391, 0.358005684509711 ,   0.1687245368957519, {}
ALS_factors=10 , log                          ,                             1, 0.2714375524158216, 0.3122911871609645, 0.3302016261926296, 0.3382813788553521, 0.3730459497868308,   0.1692743301391601, {}
ALS_factors=10 , power                        ,                            20, 0.2738225955365876, 0.3120289785621699, 0.3286488354884574, 0.3359722909450767, 0.3694931312174325,   0.1723783016204834, {'power_p': 0.7936779087992564}
ALS_factors=10 , robust_user_centric          ,                            20, 0.2691428936815366, 0.3123282305261803, 0.3280707380451141, 0.3363021606465446, 0.3680720037896731,   0.1817271709442138, {'scale_factor': 2.6999412614048968}
ALS_factors=10 , no_weighting                 ,                             1, 0.2723646539494507, 0.3089362467000633, 0.3277552230416686, 0.3321787893781956, 0.368427285646613 ,   0.1743996143341064, {}
ALS_factors=100, pmi                          ,                             1, 0.2550304177305468, 0.3065535659078494, 0.3261577143228623, 0.3173346528121392, 0.3416627190904784,   0.227064847946167 , {}
ALS_factors=10 , log_idf                   ,                            20, 0.2676079342123615, 0.3020897888143217, 0.3221598222900553, 0.3245917862444334, 0.3602558029369966,   0.1666245460510254, {'conf_alpha': 1.2755019674220032}
ALS_factors=10 , tfidf                        ,                             1, 0.2645004133500643, 0.3001307166576947, 0.3205376784738344, 0.3214580240804882, 0.3597820937944102,   0.1889395713806152, {}
ALS_factors=100, no_weighting                 ,                             1, 0.2472544006159351, 0.2954102828737566, 0.3188862037933176, 0.3077684314695695, 0.341189009947892 ,   0.2527360916137695, {}
ALS_factors=10 , bm25                         ,                            20, 0.2637739455521019, 0.2944020045282406, 0.3160464169302043, 0.3188190664687448, 0.3569398389388915,   0.1664059162139892, "{'bm25_k1': 150.45291532812632, 'bm25_b': 0.516243102366684}"
ALS_factors=10 , robust_user_centric_weight_v2,                            20, 0.2616614745644782, 0.3016968468328476, 0.3152045130183077, 0.3242619165429655, 0.3546897205116058,   0.1717057228088379, "{'lower_q': 34.2797576724562, 'upper_q': 78.94633936788146}"
ALS_factors=100, tfidf                        ,                             1, 0.2420747189074175, 0.2891711380274089, 0.3138278776347752, 0.3018307768431469, 0.3352676456655613,   0.2213659286499023, {}
ALS_factors=100, log_idf                   ,                            20, 0.2383481861137872, 0.2833852766328664, 0.3102279304043566, 0.2925944252020452, 0.3298199905258172,   0.2555727958679199, {'conf_alpha': 1.2755019674220032}
ALS_factors=100, bm25                         ,                            20, 0.235700829013063 , 0.2756884731604104, 0.2988688647135021, 0.2859970311726867, 0.3177404073898626,   0.216398000717163 , "{'bm25_k1': 984.8414327079532, 'bm25_b': 0.010892661204902123}"
ALS_factors=100, normalized                   ,                             1, 0.1336070427051871, 0.1413675643885525, 0.1543013960694991, 0.1632855022266204, 0.1941023211747986,   0.1849029064178466, {}
ALS_factors=10 , normalized                   ,                             1, 0.1336070427051871, 0.1413675643885525, 0.1543013960694991, 0.1632855022266204, 0.1941023211747986,   0.1462376117706298, {}
