Algorithm, Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
I-AutoRec, log                          ,                             1, 0.0881397915982407, 0.0942664637207842, 0.1050443269652609, 0.1164440046181758, 0.1432970156324017,   0.4395349025726318, {}
I-AutoRec, robust_user_centric          ,                            15, 0.097479211834765 , 0.0922202379671584, 0.1022210128568391, 0.1077024575292759, 0.1350071056371388,   0.4453237056732178, {'scale_factor': 6.837650716984776}
I-AutoRec, power_lift                   ,                            15, 0.0879467309095832, 0.0864007815566586, 0.0978131170609478, 0.1060531090219363, 0.1399810516342965,   0.4480969905853271, {'p': 0.14181126603068628}
I-AutoRec, robust_user_centric_weight_v2,                            15, 0.0865682990470525, 0.0876774297695444, 0.0966752845367221, 0.1091868711858815, 0.1377309332070109,   0.4460952281951904, "{'lower_q': 10.482242679024125, 'upper_q': 64.45447388945644}"
I-AutoRec, no_weighting                 ,                             1, 0.0872031744652235, 0.0828273184869005, 0.0939565902126375, 0.0996206498433119, 0.1273093320701089,   0.4422707557678222, {}
I-AutoRec, power                        ,                            15, 0.0936040305142689, 0.080802527857271 , 0.0924485889774245, 0.1020946726043213, 0.1344149692089057,   0.4513628482818603, {'power_p': 0.8902548200805446}
I-AutoRec, bm25                         ,                            15, 0.0930541496445728, 0.0804263673448816, 0.0920826860034931, 0.0956622134256968, 0.1206774040738986,   0.4505977630615234, "{'bm25_k1': 33.16756390643815, 'bm25_b': 0.3227663635478063}"
I-AutoRec, confidence                   ,                            15, 0.0949289072417518, 0.0800735861260686, 0.0918743582684268, 0.0940128649183572, 0.1194931312174324,   0.443505048751831 , {'conf_alpha': 74.69247901504902}
I-AutoRec, pmi                          ,                             1, 0.0748137778774242, 0.0791508709159805, 0.0902468837027757, 0.0933531255154214, 0.1194931312174324,   0.4493460655212402, {}
I-AutoRec, sigmoid_propensity           ,                            15, 0.0890816991086229, 0.081430835963125 , 0.0895939742018499, 0.0974764967837704, 0.121151113216485 ,   0.4436266422271728, "{'p': 2.7461130372325364, 'beta': 0.2858097275664312}"
I-AutoRec, tfidf                        ,                             1, 0.0706170865202437, 0.0723058958715556, 0.0782937266285755, 0.0945076694705591, 0.1136901942207484,   0.4740502834320068, {}
I-AutoRec, normalized                   ,                             1, 0.0524873128836122, 0.0462919592336993, 0.0551937670663012, 0.0580570674583539, 0.0773330175272382,   0.4472641944885254, {}
