Algorithm,Strategy,Best Val NDCG@20,Test NDCG@20,Test Precision@20,Final Train Time (s),Best Params
ALS_factors=10,power_lift,0.275096944280977,0.3390812137014058,0.3734012316437707,0.02939772605895996,{'p': 0.20298154336881027}
ALS_factors=10,pmi,0.2651063679466082,0.3325648266283075,0.3584793936522975,0.030410051345825195,{}
ALS_factors=10,power,0.2768607787159655,0.3317887393865697,0.3723353860729512,0.03045201301574707,{'power_p': 0.5504693184151779}
ALS_factors=10,log,0.2748564171886328,0.3309261614923564,0.37091425864519184,0.032584190368652344,{}
ALS_factors=10,sigmoid_propensity,0.2736073171167622,0.3300893885624995,0.37091425864519184,0.030450105667114258,"{'p': 1.40152528826798, 'beta': 0.5683930129014587}"
ALS_factors=10,no_weighting,0.27244925287930244,0.32926470109270245,0.36747986736144006,0.030376672744750977,{}
ALS_factors=10,robust_user_centric,0.2720764508507793,0.3276516762899043,0.3675982946470867,0.030440568923950195,{'scale_factor': 2.8983133438111786}
ALS_factors=10,bm25,0.26022797908927503,0.324414512096497,0.3588346755092373,0.03464913368225098,"{'bm25_k1': 10.924518246974912, 'bm25_b': 0.4798737170027617}"
ALS_factors=10,tfidf,0.25842547423840395,0.32216737476520857,0.3561108479393652,0.03360486030578613,{}
ALS_factors=10,confidence,0.2606519044093769,0.32157761971327575,0.3550450023685457,0.029398202896118164,{'conf_alpha': 1.1958441973755038}
ALS_factors=10,robust_user_centric_weight_v2,0.2631015480930152,0.31821667357971634,0.3613216485078162,0.030455827713012695,"{'lower_q': 6.24671093300206, 'upper_q': 92.59301558430829}"
ALS_factors=100,sigmoid_propensity,0.21978194131601553,0.2830126703732531,0.2886072951207958,0.06505870819091797,"{'p': 1.267129304001736, 'beta': 0.9081640847987025}"
ALS_factors=100,no_weighting,0.21629627544191743,0.28105841560625144,0.2873045949786831,0.06823539733886719,{}
ALS_factors=100,power,0.2188496819967192,0.28084376637436514,0.28979156797726197,0.06640863418579102,{'power_p': 1.2204511828522826}
ALS_factors=100,robust_user_centric,0.215062476823161,0.27864827221919714,0.28777830412126953,0.06509041786193848,{'scale_factor': 9.791121397919685}
ALS_factors=100,log,0.21607614798573896,0.27627301653835895,0.2823306489815253,0.06791067123413086,{}
ALS_factors=100,power_lift,0.2133856707340885,0.2741957338378284,0.28268593083846516,0.06648564338684082,{'p': 0.12474322411945926}
ALS_factors=100,confidence,0.21770030687004144,0.27313298163056976,0.28150165798199905,0.06824159622192383,{'conf_alpha': 1.2660279933834926}
ALS_factors=100,bm25,0.21453368578989165,0.2731101703470381,0.28540975840833727,0.06507205963134766,"{'bm25_k1': 18.250742736854136, 'bm25_b': 0.007842924451971427}"
ALS_factors=100,tfidf,0.21583692741900962,0.27199079513748403,0.2817385125532923,0.0650947093963623,{}
ALS_factors=10,normalized,0.21043799472094057,0.27130975997717877,0.3075556608242539,0.030447721481323242,{}
ALS_factors=100,robust_user_centric_weight_v2,0.19883123411864595,0.2503562486229476,0.26136901942207486,0.06509757041931152,"{'lower_q': 19.523713314443093, 'upper_q': 84.42780094904067}"
ALS_factors=100,pmi,0.19111085700305178,0.24679334050988785,0.25473709142586454,0.06784844398498535,{}
ALS_factors=100,normalized,0.1277877666024402,0.17445374070419756,0.2109189957366177,0.06614422798156738,{}
