Algorithm, Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
KNN_k=100, power_lift                   ,                            20, 0.2527325058503857, 0.2976726025276892, 0.3142275241755668, 0.3074385617681016, 0.3343202273803884,   0.0288920402526855, {'p': 1.1627526935071715}
KNN_k=100, bm25                         ,                            20, 0.2516246368737102, 0.2930143950211266, 0.3098499650698718, 0.3041398647534224, 0.3308858360966367,   0.0282163619995117, "{'bm25_k1': 338.7558204049336, 'bm25_b': 0.9963623288004031}"
KNN_k=100, pmi                          ,                             1, 0.2487289736907072, 0.2948300762644141, 0.3097072953812154, 0.3113969981857166, 0.3355045002368546,   0.0282974243164062, {}
KNN_k=20 , pmi                          ,                             1, 0.248758521357112 , 0.2849887357683784, 0.3014009837095011, 0.3049645390070922, 0.3326622453813359,   0.0194144248962402, {}
KNN_k=20 , bm25                         ,                            20, 0.2507449753387283, 0.2873489478075852, 0.3008046954235275, 0.3038099950519545, 0.3287541449549976,   0.0194246768951416, "{'bm25_k1': 843.4301155557006, 'bm25_b': 0.7633158634919186}"
KNN_k=20 , normalized                   ,                             1, 0.2471336429431627, 0.2835964669285321, 0.2988668658392328, 0.301665841992413 , 0.3317148270961629,   0.0195691585540771, {}
KNN_k=20 , power_lift                   ,                            20, 0.2464541201067865, 0.2837550399126172, 0.2983799036183536, 0.2963879267689263, 0.3246091899573661,   0.0203714370727539, {'p': 0.874576236478479}
KNN_k=100, normalized                   ,                             1, 0.2416550544240349, 0.2792037433213718, 0.2950251416882477, 0.2871515751278245, 0.3132401705352913,   0.0279314517974853, {}
KNN_k=20 , robust_user_centric          ,                            20, 0.2297955229224076, 0.2708656016285908, 0.2855022614951779, 0.2894606630381   , 0.3188062529606821,   0.0194871425628662, {'scale_factor': 2.6717703265899693}
KNN_k=20 , robust_user_centric_weight_v2,                            20, 0.2352469219818294, 0.2699022175421329, 0.2846808884956527, 0.2884710539336962, 0.3183325438180956,   0.0200850963592529, "{'lower_q': 13.009637863954161, 'upper_q': 57.803594736337075}"
KNN_k=20 , power                        ,                            20, 0.2344428608519996, 0.2684028436344423, 0.2838949770378741, 0.2873165099785584, 0.3180956892468025,   0.0195081233978271, {'power_p': 0.507006817593925}
KNN_k=20 , log                          ,                             1, 0.2342445337016336, 0.268971264154856 , 0.2838919073784589, 0.2881411842322283, 0.317621980104216 ,   0.0200636386871337, {}
KNN_k=20 , tfidf                        ,                             1, 0.2346100478722425, 0.267980256590046 , 0.2836757961960675, 0.2864918357248887, 0.317621980104216 ,   0.0237154960632324, {}
KNN_k=20 , no_weighting                 ,                             1, 0.2337355482011958, 0.2676492966085783, 0.2835867819262649, 0.2878113145307603, 0.3193983893889152,   0.0212640762329101, {}
KNN_k=20 , log_idf                   ,                            20, 0.2347623232772594, 0.2685891004872081, 0.2835416036847459, 0.2881411842322283, 0.3175035528185694,   0.0192177295684814, {'conf_alpha': 55.13187607675897}
KNN_k=20 , sigmoid_propensity           ,                            20, 0.2340066889516383, 0.2691075940609278, 0.2834100128802664, 0.288965858485898 , 0.317621980104216 ,   0.0196468830108642, "{'p': 1.0751860580401422, 'beta': 0.045019203797988516}"
KNN_k=100, robust_user_centric_weight_v2,                            20, 0.2232264180935706, 0.2575901823219725, 0.2674387284456588, 0.2645555005772719, 0.2869493131217432,   0.0477731227874755, "{'lower_q': 11.265479498276028, 'upper_q': 56.413641211526155}"
KNN_k=100, robust_user_centric          ,                            20, 0.2190653033330355, 0.2555334983509553, 0.2658489780026791, 0.2632360217714003, 0.2865940312648034,   0.0317449569702148, {'scale_factor': 4.261308278397727}
KNN_k=100, log_idf                   ,                            20, 0.2192144004159431, 0.2539184999507078, 0.2653477929225453, 0.2622464126669965, 0.2882520132638559,   0.0291650295257568, {'conf_alpha': 17.627894967793516}
KNN_k=100, log                          ,                             1, 0.2189509309995027, 0.2533541565260837, 0.2651681045137455, 0.2619165429655286, 0.2881335859782093,   0.0285196304321289, {}
KNN_k=100, no_weighting                 ,                             1, 0.2186422177571379, 0.2541075601317229, 0.265007454033603 , 0.2630710869206663, 0.2880151586925628,   0.0318922996520996, {}
KNN_k=100, tfidf                        ,                             1, 0.2187007673634899, 0.2543458723171743, 0.2649998279098441, 0.2627412172191984, 0.2873045949786831,   0.0426690578460693, {}
KNN_k=100, power                        ,                            20, 0.2203289531512874, 0.2544520248631099, 0.2649484577753127, 0.2637308263236022, 0.2877783041212695,   0.0473201274871826, {'power_p': 0.6384267877860578}
KNN_k=100, sigmoid_propensity           ,                            20, 0.2191660562107861, 0.2522848013100744, 0.2618654841901142, 0.2607619990103909, 0.2819753671245855,   0.0293095111846923, "{'p': 0.2836829624877627, 'beta': 0.5821600768215719}"
