Algorithm      , Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
LMF_factors=100, robust_user_centric_weight_v2,                            20, 0.1446267858526834, 0.1429940481470987, 0.1728055079304625, 0.1512452581230414, 0.1962340123164377,   0.6096677780151367, "{'lower_q': 33.68816840686153, 'upper_q': 80.96817834547466}"
LMF_factors=100, normalized                   ,                             1, 0.1456055487207508, 0.1567875125011607, 0.1710444795247991, 0.1593270658090054, 0.1782330648981525,   0.602259635925293 , {}
LMF_factors=100, robust_user_centric          ,                            20, 0.1426403979405366, 0.146097744698517 , 0.1670948624025398, 0.1505855187201055, 0.1804831833254381,   0.5988268852233887, {'scale_factor': 0.23546670071117437}
LMF_factors=100, sigmoid_propensity           ,                            20, 0.1377089204783928, 0.141289532902104 , 0.161466465506393 , 0.1566881081972621, 0.186049265750829 ,   1.223452091217041 , "{'p': 2.201473148830704, 'beta': 0.6532830141555154}"
LMF_factors=100, power                        ,                            20, 0.1369980047343623, 0.1426947398385987, 0.1598719114723529, 0.1502556490186376, 0.1711274277593557,   0.6414690017700195, {'power_p': 0.12019760331996314}
LMF_factors=100, log                          ,                             1, 0.1303761409841096, 0.1370350603797455, 0.1526753408018389, 0.1500907141679036, 0.1736144007579346,   0.5995440483093262, {}
LMF_factors=100, power_lift                   ,                            20, 0.1345667295687745, 0.1274628247581801, 0.1506712516932764, 0.1415141019297377, 0.1766935101847465,   1.3665506839752195, {'p': 0.5110669916914065}
LMF_factors=100, tfidf                        ,                             1, 0.1235751924049876, 0.1276912558218338, 0.1493153990919658, 0.144317994392215 , 0.1806016106110848,   0.627758264541626 , {}
LMF_factors=100, bm25                         ,                            20, 0.1242667019181276, 0.1223009920721817, 0.146815712484528 , 0.1383803397657925, 0.1784699194694457,   0.6066694259643555, "{'bm25_k1': 890.9368293378736, 'bm25_b': 0.062470166850947195}"
LMF_factors=100, log_idf                   ,                            20, 0.116090246501895 , 0.1175679885119725, 0.1397253635498992, 0.1382154049150585, 0.1749171009000473,   0.5796418190002441, {'conf_alpha': 1.3997319432813828}
LMF_factors=100, pmi                          ,                             1, 0.1113622163819788, 0.1166303923626804, 0.138990580425413 , 0.1301335972290945, 0.1649692089057318,   0.5962707996368408, {}
LMF_factors=100, no_weighting                 ,                             1, 0.1069160127065308, 0.1176217591964731, 0.1338645726263594, 0.1354115124525812, 0.1641402179062056,   0.5839462280273438, {}
