Algorithm, Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
KNN_k=100, pmi                          ,                             1, 0.2143708104387132, 0.2543226000286097, 0.2620209775249404, 0.2662612028759126, 0.2824174679656598,   3.1380434036254883, {}
KNN_k=100, power_lift                   ,                            20, 0.2146524802250199, 0.2525947680591627, 0.2588672904386058, 0.259423709661338 , 0.2694839188121432,   3.110193967819214 , {'p': 0.8730207954998535}
KNN_k=100, bm25                         ,                            20, 0.2143196352402453, 0.2520557463919709, 0.2582602031600843, 0.2585440969568059, 0.2681111583576679,   3.121121406555176 , "{'bm25_k1': 779.051787547782, 'bm25_b': 0.9510742326810979}"
KNN_k=20 , bm25                         ,                            20, 0.2097126488780638, 0.2436749749656729, 0.2541521290537911, 0.2576102008485936, 0.2785740519299696,   4.989316701889038 , "{'bm25_k1': 347.6403750352989, 'bm25_b': 0.38668962210266455}"
KNN_k=100, normalized                   ,                             1, 0.2079527470038283, 0.2436502683322713, 0.2522194471859389, 0.2551419677179922, 0.2734275706368653,   3.123929500579834 , {}
KNN_k=20 , power_lift                   ,                            20, 0.2054301081448996, 0.2391161875645378, 0.2496839508081384, 0.2543554122769118, 0.2767157743723712,   5.005670547485352 , {'p': 0.2338520880679608}
KNN_k=20 , normalized                   ,                             1, 0.2052204174846674, 0.2360557937534019, 0.2482343474867417, 0.2485902932411623, 0.2710352242658316,   4.98589301109314  , {}
KNN_k=20 , power                        ,                            20, 0.2034487686658137, 0.2393570740411745, 0.2474132667059844, 0.2577143363576944, 0.2787713911396261,   4.999539375305176 , {'power_p': 1.4976312890997985}
KNN_k=20 , robust_user_centric_weight_v2,                            20, 0.2030320978653479, 0.2385453912814677, 0.246510231003265 , 0.2571116797943877, 0.2776742791049884,   4.990931510925293 , "{'lower_q': 43.164298457945705, 'upper_q': 73.65648853566094}"
KNN_k=20 , sigmoid_propensity           ,                            20, 0.2027500641421765, 0.2390580667282739, 0.2462806274052967, 0.2575127122868823, 0.2767901681220433,   4.996864080429077 , "{'p': 4.203486577428474, 'beta': 0.11796781174879922}"
KNN_k=20 , no_weighting                 ,                             1, 0.2016105593315788, 0.237084813142069 , 0.2461828405570596, 0.2557545947023829, 0.2784268306148291,   4.995014190673828 , {}
KNN_k=20 , robust_user_centric          ,                            20, 0.2020603930536711, 0.2362198138865206, 0.2452049703381114, 0.254726533506154 , 0.2772435784489921,   5.00026273727417  , {'scale_factor': 0.8239382008128486}
KNN_k=20 , log_idf                   ,                            20, 0.2001556792299367, 0.2342230209045245, 0.2441348296478915, 0.253178902588986 , 0.2770493716077429,   5.02360987663269  , {'conf_alpha': 149.6829166905879}
KNN_k=20 , log                          ,                             1, 0.2001506525897574, 0.2342122039902798, 0.244120375783494 , 0.2531755791152913, 0.2770384083183175,   4.990729093551636 , {}
KNN_k=20 , tfidf                        ,                             1, 0.2002632608959362, 0.2340707322501385, 0.2439427210442336, 0.2529506907286162, 0.2765693361493325,   5.020371675491333 , {}
KNN_k=20 , pmi                          ,                             1, 0.1995639541212901, 0.2207620082965542, 0.2403403911979175, 0.2342938172311033, 0.2674204711238703,   4.975707530975342 , {}
KNN_k=100, power                        ,                            20, 0.1874652041342846, 0.2186026886880988, 0.2269447496825187, 0.2349141989874483, 0.2558706457142544,   3.193265199661255 , {'power_p': 1.4466599452323632}
KNN_k=100, no_weighting                 ,                             1, 0.1863136197357945, 0.2168851272864025, 0.2256819709860081, 0.2330519458938482, 0.2548166037452163,   5.255841493606567 , {}
KNN_k=100, robust_user_centric_weight_v2,                            20, 0.1862189218446935, 0.2163388435260652, 0.2253467814830687, 0.2328469983493414, 0.2542151890110251,   3.1299479007720947, "{'lower_q': 40.055265747850626, 'upper_q': 74.90002079016008}"
KNN_k=100, robust_user_centric          ,                            20, 0.1853959538361352, 0.2151432699485889, 0.2246947035674444, 0.231134301572003 , 0.2536662414476553,   3.1324985027313232, {'scale_factor': 0.5923510944912054}
KNN_k=100, sigmoid_propensity           ,                            20, 0.1857851514298318, 0.2165408982152334, 0.2245430327125638, 0.2326775011909114, 0.2528980280957784,   3.132284879684448 , "{'p': 3.376903675920369, 'beta': 0.017288313776065434}"
KNN_k=100, tfidf                        ,                             1, 0.1847318806454196, 0.2147962942436433, 0.2240619191676367, 0.2304529894645884, 0.2528502594775679,   3.143268346786499 , {}
KNN_k=100, log_idf                   ,                            20, 0.1846940254789024, 0.2146830145114818, 0.2238838191725007, 0.2305460467280401, 0.2528573073064842,   3.1425278186798096, {'conf_alpha': 147.1590520580694}
KNN_k=100, log                          ,                             1, 0.1847065325835818, 0.2146607446618141, 0.2238556059619655, 0.2305316450086964, 0.2528314652671244,   3.174900531768799 , {}
