Algorithm,Strategy,Number of Optimization Trials,Best Val NDCG@20,Test NDCG@10,Test NDCG@20,Test Precision@10,Test Precision@20,Final Train Time (s),Best Params
ALS_factors=100,power_lift,20,0.0667472695964671,0.0591599276199159,0.071396918259505,0.1029187346124073,0.1498995527206827,49.50347781181336,{'p': 0.37512124004563385}
ALS_factors=100,bm25,20,0.0607660649923814,0.0546185047239828,0.065655142182135,0.0939847614188028,0.1365121557191017,49.60656380653381,"{'bm25_k1': 3.464734272938415, 'bm25_b': 0.9732576342003244}"
ALS_factors=100,pmi,1,0.0584496432448087,0.0521683294913776,0.0626585790643939,0.0899079274589624,0.1302465568836508,49.52118802070618,{}
ALS_factors=100,confidence,20,0.0591954424206609,0.0508409794323936,0.0616040004315431,0.0876709528750817,0.1292723289261116,49.558887004852295,{'conf_alpha': 1.4332196930253005}
ALS_factors=100,tfidf,1,0.054623041268643,0.0500077971896865,0.0607598380208696,0.0865947383353935,0.128038192096508,52.58611011505127,{}
ALS_factors=100,power,20,0.0532049782861982,0.0463383755339928,0.0562013798500831,0.0802625287112803,0.1179133030557119,49.61151885986328,{'power_p': 0.7138199050943289}
ALS_factors=10,bm25,20,0.0525543032142192,0.0436939804495422,0.0560921134103832,0.0787896962901681,0.1244665966691337,14.99616289138794,"{'bm25_k1': 4.207673145032096, 'bm25_b': 0.990098179081567}"
ALS_factors=100,robust_user_centric,20,0.0533036704768556,0.046056614877884,0.0558618001385719,0.079320840989053,0.1168586680961244,49.53148436546326,{'scale_factor': 9.976651717233675}
ALS_factors=10,confidence,20,0.0505740632440347,0.041374676667978,0.0536825783114404,0.0753777878569281,0.1208441013964261,14.992000818252563,{'conf_alpha': 2.7052621584068817}
ALS_factors=10,pmi,1,0.0476943646707098,0.0390618121872538,0.0509118717278354,0.0711589671821704,0.1147570208591008,14.9783034324646,{}
ALS_factors=10,tfidf,1,0.0479658882086455,0.0391328907275514,0.0509010053493046,0.0712773308884762,0.1145844039923183,14.837221384048462,{}
ALS_factors=10,robust_user_centric,20,0.0478194045549947,0.0391179409148485,0.0509008380181098,0.0706216059020719,0.1136743541006341,14.950877904891968,{'scale_factor': 9.879081226043372}
ALS_factors=10,power_lift,20,0.0457407937975323,0.0371530752409659,0.0486959270476807,0.0682891446307512,0.1107649484485382,14.691965579986572,{'p': 0.21111167543799952}
ALS_factors=10,log,1,0.0453154475075241,0.0371123632812254,0.0481031219800155,0.0659892582449895,0.1057393878740339,15.070170879364014,{}
ALS_factors=10,power,20,0.0452523630756071,0.0373034093609846,0.0480918197379089,0.0659693651851061,0.1049611366156766,14.98707127571106,{'power_p': 0.5524939769068045}
ALS_factors=100,no_weighting,1,0.0456943041794158,0.0369897829925148,0.0462449343612858,0.0655013809513507,0.100689975681185,52.19178867340088,{}
ALS_factors=10,no_weighting,1,0.0382492704617475,0.0302472754462683,0.04057356613651,0.0560350197426186,0.0936535023765555,14.714479446411133,{}
ALS_factors=100,log,1,0.0490679275732721,0.0320559257669173,0.0401901269351507,0.0553919765818899,0.0860677041710824,53.06229209899902,{}
ALS_factors=100,robust_user_centric_weight_v2,20,0.035595656683918,0.0291737344559618,0.037284386256159,0.0517169824316928,0.0817599051836697,49.476778745651245,"{'lower_q': 22.37996803461394, 'upper_q': 72.77422544119975}"
ALS_factors=10,robust_user_centric_weight_v2,20,0.0319032271089223,0.0246165035881881,0.033519672648561,0.0461546342250646,0.0779601210776997,14.940430641174316,"{'lower_q': 44.796934534412074, 'upper_q': 55.52590702350647}"
ALS_factors=10,normalized,1,0.0235238774747341,0.0187015547778201,0.0244182494102614,0.0312624409331536,0.0519340711761798,14.97838830947876,{}
ALS_factors=100,normalized,1,0.0169542733909859,0.0133794156498024,0.0180535511285795,0.0240494660827058,0.0409697035268429,49.57841992378235,{}
ALS_factors=10,sigmoid_propensity,20,0.0142062383116411,0.0102627910357949,0.0137959055869229,0.0190530754297584,0.0319024001613057,15.225609540939333,"{'p': 1.8180578183689358, 'beta': 0.24503224983716337}"
ALS_factors=100,sigmoid_propensity,20,0.0125669070249082,0.0097010521877493,0.0124009579306958,0.0167663681961694,0.0266336514368755,50.78869557380676,"{'p': 1.5858657064573796, 'beta': 0.8474099285584786}"
