Algorithm, Strategy                     , Number of Optimization Trials, Best Val NDCG@20     , Test NDCG@10         , Test NDCG@20         , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
KNN_k=100, confidence                   ,                            10, 0.0548843103924834   , 0.0482377834480682   , 0.0586309639866151   , 0.0846111516017767, 0.1240650534448376,   3.1785905361175537, {'conf_alpha': 54.954464354080116}
KNN_k=100, robust_user_centric_weight_v2,                            10, 0.0547002864098356   , 0.0479302869382295   , 0.0582682382890043   , 0.083896493425468 , 0.1231021365640391,   3.143589496612549 , "{'lower_q': 14.726291257870932, 'upper_q': 92.01540796337524}"
KNN_k=100, robust_user_centric          ,                            10, 0.0541289851219735   , 0.0475246129696021   , 0.057806226990236    , 0.0832246053279085, 0.122232659012838 ,   2.9043750762939453, {'scale_factor': 1.2109369175291178}
KNN_k=20 , power_lift                   ,                            10, 0.0513077144052236   , 0.0473689381856132   , 0.0572284959248626   , 0.0816299279150108, 0.119257845830024 ,   2.7555370330810547, {'p': 0.24434787681681283}
KNN_k=20 , bm25                         ,                            10, 0.0505788139226736   , 0.0469354058542382   , 0.0567618292357759   , 0.0806434808080461, 0.117959776827538 ,   2.6964516639709477, "{'bm25_k1': 31.33329274964659, 'bm25_b': 0.7770367948199423}"
KNN_k=100, power_lift                   ,                            10, 0.0538072847930263   , 0.0458782955795106   , 0.0560777679901678   , 0.0812566843789498, 0.1204022317246195,   3.230721950531006 , {'p': 0.259185148987678}
KNN_k=20 , power                        ,                            10, 0.0497709338404303   , 0.0459838087878182   , 0.0555265854115791   , 0.0794978892220147, 0.1161888556386947,   2.734898090362549 , {'power_p': 0.16643832838443454}
KNN_k=20 , confidence                   ,                            10, 0.0516675900521172   , 0.0456843848088771   , 0.0552167687230303   , 0.0788526080920491, 0.1152291353665403,   2.6771469116210938, {'conf_alpha': 39.30074639498613}
KNN_k=100, bm25                         ,                            10, 0.0526525201691886   , 0.0449266242083657   , 0.0551030817749083   , 0.0795990951641712, 0.1185472151391385,   2.8795371055603027, "{'bm25_k1': 47.35533899208951, 'bm25_b': 0.324875829819255}"
KNN_k=20 , robust_user_centric_weight_v2,                            10, 0.051631710121024    , 0.0454732532706161   , 0.0550581501867812   , 0.0784196853763381, 0.1150053727614518,   2.9730982780456543, "{'lower_q': 16.77507398129061, 'upper_q': 94.50100534287802}"
KNN_k=20 , log                          ,                             1, 0.0492178634202576   , 0.0455983465153138   , 0.0549348153807115   , 0.0787240491925531, 0.1146667781381475,   2.669255018234253 , {}
KNN_k=20 , robust_user_centric          ,                            10, 0.0510410886197596   , 0.0450356189010068   , 0.0545868708541782   , 0.077672700977719 , 0.1141204039529754,   2.819692850112915 , {'scale_factor': 9.607177688936702}
KNN_k=100, power                        ,                            10, 0.0509707284181908   , 0.0447065689795821   , 0.0544205982755024   , 0.0791895467938231, 0.1165183522220118,   2.847768783569336 , {'power_p': 0.2540575635986686}
KNN_k=100, log                          ,                             1, 0.0514345799439956   , 0.0446406560915787   , 0.0543444451885288   , 0.0789391429025416, 0.1161485291911842,   2.953211545944214 , {}
KNN_k=20 , pmi                          ,                             1, 0.0476873396560579   , 0.0441525950378091   , 0.0533155519619525   , 0.0765392938908661, 0.1118680243237328,   2.815338373184204 , {}
KNN_k=100, pmi                          ,                             1, 0.050207223599806    , 0.0434810327815169   , 0.0530788138179314   , 0.077445920095049 , 0.1144889975189399,   2.8480384349823   , {}
KNN_k=20 , tfidf                        ,                             1, 0.0462572722180168   , 0.043152870222269    , 0.0518494839508836   , 0.0743550359156763, 0.1077038268323329,   2.658919095993042 , {}
KNN_k=100, tfidf                        ,                             1, 0.0480029014288542   , 0.0419964184181403   , 0.0510239522941974   , 0.07419241015113  , 0.1089000961441523,   2.8818352222442627, {}
KNN_k=20 , no_weighting                 ,                             1, 0.0331736616333213   , 0.0329470512247045   , 0.0390459551455241   , 0.0545743718206849, 0.0773326022115614,   2.6594269275665283, {}
KNN_k=100, no_weighting                 ,                             1, 0.0350365709346996   , 0.0321079637746859   , 0.0384808357246325   , 0.0547693238075416, 0.0786823087382985,   2.8476431369781494, {}
KNN_k=20 , normalized                   ,                             1, 0.0021026602927233   , 0.003590915557712    , 0.0027271929121134   , 0.0068481858648371, 0.005738650195116 ,   2.8399815559387207, {}
KNN_k=100, normalized                   ,                             1, 0.0002765462679908   , 0.0004875968195873   , 0.0004211196789588   , 0.0010637813772611, 0.0011586476870077,   3.1182305812835693, {}
KNN_k=20 , sigmoid_propensity           ,                            10, 0.0001081274456402   , 5.426315740081571e-05, 9.735855682017378e-05, 0.0001539225508472, 0.0003730196394717,   2.740126609802246 , "{'p': 4.571656888585181, 'beta': 0.4618828314038784}"
KNN_k=100, sigmoid_propensity           ,                            10, 7.392331497447478e-05, 3.721814133434261e-05, 6.253369322437078e-05, 0.0001007086156593, 0.0002279427856231,   3.070614814758301 , "{'p': 3.153823758518224, 'beta': 0.7672450596109225}"
