Algorithm, Strategy           , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
KNN_k=100, power_lift         ,                            10, 0.1479681538329814, 0.1545305029268588, 0.1692882455861764, 0.1664643151459667, 0.1971923361228654,   15.257368326187134, {'p': 0.37159397236982294}
KNN_k=100, bm25               ,                            10, 0.1443264726907831, 0.1521026776427752, 0.1672811031257708, 0.1659462375473621, 0.1981318299087505,   15.327767133712769, "{'bm25_k1': 20.68243584637287, 'bm25_b': 0.9699098521619943}"
KNN_k=100, pmi                ,                             1, 0.1462925479191821, 0.1528807753409832, 0.1671288144827049, 0.1639070230191933, 0.1932446153352297,   15.317663669586182, {}
KNN_k=100, normalized         ,                             1, 0.141732752761225 , 0.1494685642504769, 0.1641725338990077, 0.1631801868796275, 0.194391444164431 ,   15.321922302246094, {}
KNN_k=100, power              ,                            10, 0.1436876332026156, 0.1503458779078277, 0.1638010276888098, 0.1597529826376539, 0.1872213454395305,   15.253011226654053, {'power_p': 0.18131705703547923}
KNN_k=100, sigmoid_propensity ,                            10, 0.1436437221566637, 0.150288810753781 , 0.1637192376737976, 0.1597191230206444, 0.1871413136730755,   15.287412405014038, "{'p': 0.38460969962417735, 'beta': 0.8661761457749352}"
KNN_k=100, robust_user_centric,                             1, 0.142344807224611 , 0.1491195187335512, 0.1624632533033955, 0.1584737001153009, 0.1857721988112204,   15.354808568954468, {'scale_factor': 3.807947176588889}
KNN_k=100, log_idf            ,                            10, 0.1409952268563654, 0.1477657312512716, 0.1612489999613933, 0.1575457429423701, 0.1850697221798366,   15.286720991134644, {'conf_alpha': 9.65445821306172}
KNN_k=100, log                ,                             1, 0.1409259501623541, 0.1476965974005987, 0.1611893507057805, 0.1575006816475529, 0.1850519129131255,   15.277403831481934, {}
KNN_k=100, tfidf              ,                             1, 0.1396993549986942, 0.1465968833202945, 0.1600436969406592, 0.1566310241159394, 0.1841816773866726,   15.35325813293457 , {}
KNN_k=100, no_weighting       ,                             1, 0.0998855154039036, 0.1079382336346904, 0.119733710087845 , 0.1191934893811913, 0.1441165438413577,   15.410981893539429, {}
KNN_k=20 , no_weighting       ,                             1, 0.0893790509234563, 0.0987816399763165, 0.1093470122699602, 0.1080961908440031, 0.1309266931006021,   15.172328472137451, {}
