Dataset,Algorithm,Strategy,Best Params,Final Weighting Time (s)
lastfm_360k,ALS_factors=100,bm25,"{'bm25_k1': 2.0658641475236683, 'bm25_b': 0.32412433918485234}",0.6617127418518066
lastfm_360k,ALS_factors=100,log_idf,{'conf_alpha': 1.1343218762096257},0.5347382068634033
lastfm_360k,ALS_factors=100,pmi,{},0.7330520629882813
lastfm_360k,ALS_factors=100,power_lift,{'p': 0.3351677931411075},0.32973470687866213
lastfm_360k,ALS_factors=100,tfidf,{},0.4964128971099854
lastfm_360k,ALS_factors=100,power,{'power_p': 0.5700542103811785},0.3664398670196533
lastfm_360k,ALS_factors=100,sigmoid_propensity,"{'p': 1.9503198056924926, 'beta': 0.9941970351343671}",0.34031996726989744
lastfm_360k,ALS_factors=100,robust_user_centric,{},2.6043320178985594
lastfm_360k,ALS_factors=100,log,{},0.32992053031921387
lastfm_360k,ALS_factors=100,no_weighting,{},3.0994415283203125e-06
lastfm_360k,ALS_factors=100,normalized,{},0.4957411289215088
lastfm_360k,KNN_k=100,bm25,"{'bm25_k1': 334.8616967056139, 'bm25_b': 0.9976923878612527}",0.6569061279296875
lastfm_360k,KNN_k=100,pmi,{},0.732964277267456
lastfm_360k,KNN_k=100,robust_user_centric,{},2.615931987762451
lastfm_360k,KNN_k=100,power_lift,{'p': 0.34771148101691296},0.3203155994415283
lastfm_360k,KNN_k=100,normalized,{},0.49863429069519044
lastfm_360k,KNN_k=100,power,{'power_p': 0.15519526328023617},0.36789669990539553
lastfm_360k,KNN_k=100,sigmoid_propensity,"{'p': 0.2569626793794393, 'beta': 0.9474990766919448}",0.3439797878265381
lastfm_360k,KNN_k=100,log,{},0.3329580307006836
lastfm_360k,KNN_k=100,log_idf,{'conf_alpha': 3.4705476625545497},0.5396950244903564
lastfm_360k,KNN_k=100,tfidf,{},0.49523320198059084
lastfm_360k,KNN_k=100,no_weighting,{},3.0517578125e-06
movielens_20m,ALS_factors=100,power_lift,{'p': 0.34283417487987256},0.367498779296875
movielens_20m,ALS_factors=100,sigmoid_propensity,"{'p': 2.1061539761683687, 'beta': 0.9996379410568317}",0.3410298824310303
movielens_20m,ALS_factors=100,pmi,{},0.7496166706085206
movielens_20m,ALS_factors=100,no_weighting,{},3.5762786865234375e-06
movielens_20m,ALS_factors=100,robust_user_centric,{},1.8265271186828613
movielens_20m,ALS_factors=100,bm25,"{'bm25_k1': 4.0389018496678375, 'bm25_b': 0.7418256661756722}",0.6835835456848145
movielens_20m,ALS_factors=100,power,{'power_p': 1.291457459532728},0.4113797664642334
movielens_20m,ALS_factors=100,tfidf,{},0.5108664035797119
movielens_20m,ALS_factors=100,log,{},0.37233972549438477
movielens_20m,ALS_factors=100,log_idf,{'conf_alpha': 2.5438808701236457},0.5592203617095948
movielens_20m,ALS_factors=100,normalized,{},0.5731001853942871
movielens_20m,KNN_k=100,pmi,{},0.7468995571136474
movielens_20m,KNN_k=100,power_lift,{'p': 0.8730207954998535},0.3710664749145508
movielens_20m,KNN_k=100,bm25,"{'bm25_k1': 779.051787547782, 'bm25_b': 0.9510742326810979}",0.6827668190002442
movielens_20m,KNN_k=100,normalized,{},0.572067403793335
movielens_20m,KNN_k=100,power,{'power_p': 1.4466599452323632},0.40228919982910155
movielens_20m,KNN_k=100,no_weighting,{},3.24249267578125e-06
movielens_20m,KNN_k=100,robust_user_centric,{},1.8310116291046143
movielens_20m,KNN_k=100,sigmoid_propensity,"{'p': 3.376903675920369, 'beta': 0.017288313776065434}",0.3408484935760498
movielens_20m,KNN_k=100,tfidf,{},0.5119600772857666
movielens_20m,KNN_k=100,log_idf,{'conf_alpha': 147.1590520580694},0.5565648078918457
